datum;idopont;ertek(ft);aruhaz
2023-03-02;00:50;19712;Tesco
2023-08-06;07:15;6523;Penny
2023-09-09;06:36;17804;Spar
2023-07-20;23:08;8554;Aldi
2023-08-14;00:47;2597;Spar
2024-01-06;16:01;12231;Spar
2024-01-18;03:17;14988;Tesco
2023-12-25;19:53;14250;Tesco
2023-08-01;11:07;16326;Lidl
2024-02-20;22:19;17787;Lidl
2023-10-08;06:58;7287;CBA
2023-05-09;09:13;18246;Lidl
2023-09-22;19:38;15455;Aldi
2023-10-09;13:36;13216;Aldi
2024-02-28;18:04;10941;Penny
2023-01-30;22:17;19576;Penny
2023-03-28;21:08;4783;Aldi
2023-07-30;00:39;8367;Aldi
2023-12-28;12:59;15093;Auchan
2023-12-23;08:03;15100;Aldi
2024-02-06;00:40;4148;Tesco
2023-11-05;07:09;13686;Auchan
2023-03-04;04:45;5759;Spar
2023-03-23;08:05;15753;Spar
2023-12-13;15:51;17357;Penny
2023-08-11;12:58;9711;Spar
2023-01-07;03:18;3700;Aldi
2023-11-18;18:19;13180;Lidl
2023-01-10;03:51;3528;Auchan
2023-10-08;13:25;584;Lidl
2023-07-24;07:49;17678;Lidl
2023-12-12;21:20;19512;Spar
2023-11-29;09:38;10098;Spar
2023-03-03;05:46;1885;Aldi
2023-01-26;22:37;5493;Auchan
2023-09-22;19:34;11324;Aldi
2023-06-08;14:47;4404;Tesco
2023-04-26;02:38;5516;Penny
2023-02-11;06:42;7648;Spar
2023-03-26;11:25;2460;Auchan
2023-09-06;10:08;11017;Penny
2023-08-29;11:22;5281;Penny
2023-12-10;07:04;15530;Aldi
2023-07-01;12:03;9793;Spar
2023-10-03;00:32;13940;Penny
2023-11-17;08:07;658;Aldi
2023-07-22;02:30;18128;Auchan
2024-02-01;15:58;852;Coop
2023-05-25;07:50;4940;Auchan
2023-12-17;05:43;3741;Lidl
2023-06-30;19:06;7625;Auchan
2024-01-23;19:32;13731;Tesco
2023-04-03;08:37;4409;Tesco
2023-02-02;11:21;15324;Spar
2023-04-05;18:11;888;Aldi
2023-04-19;18:49;4881;Spar
2023-03-31;22:16;17907;Tesco
2023-08-18;00:22;8510;Tesco
2023-06-11;13:03;9058;Aldi
2023-12-26;03:54;5655;Aldi
2023-02-11;04:05;1620;Lidl
2023-07-18;10:35;4817;Auchan
2024-02-10;15:43;14549;Aldi
2023-05-22;16:37;8194;Auchan
2024-02-26;03:21;17475;Spar
2023-10-05;17:03;14161;Auchan
2024-01-31;16:02;3761;Spar
2023-03-27;15:28;6351;Tesco
2023-08-23;12:21;5347;Lidl
